File Name,Dry pix Percentage,Yellow Pixels Percentage ,Pale Yellow Pix Per,Light Green Pix Per,Green Pix Per,Total Plant Pix,Plant Area(in meter)
Test_2024_1285_2024-09-03_12-21-33.545_112961500,12.100280071999949,3.3251239529790952,45.217007063532805,37.06437757084652,2.2932113406416312,153889,0.307778
Test_2024_1285_2024-09-09_16-33-28.127_113050800,12.152537943136632,1.3921817536916385,21.840872178766777,62.41809322904027,2.1963148953646834,214268,0.428536
Test_2024_1286_2024-09-03_12-22-11.028_112961600,13.381154525454715,6.066216341833731,41.7461965110154,34.32513246366932,4.4813001580268335,129092,0.258184
Test_2024_1286_2024-09-09_16-34-06.064_113050900,10.458971784980866,2.652323904546914,30.390892923569247,48.63205311781822,7.865758269084757,196243,0.392486
Test_2024_1287_2024-09-03_12-22-54.751_112961700,10.913695217089408,0.6175713760568557,48.946616019278686,35.99395498917616,3.528162398398889,122415,0.24483
Test_2024_1287_2024-09-09_16-34-50.009_113051000,10.733227623161463,5.554644260970468,47.118790286814786,34.29383782601564,2.2995000030376485,164601,0.329202
Test_2024_1288_2024-09-03_12-23-38.223_112961800,16.02951608426117,0.640748851124202,24.237424050828118,53.82830089751103,5.264010116275483,129692,0.259384
Test_2024_1288_2024-09-09_16-35-33.786_113051100,14.56793891337649,0.608049019550302,22.52950739812538,56.41884951960606,5.875655149341769,170381,0.340762
Test_2024_1289_2024-09-03_12-24-22.065_112961900,14.354733282178078,2.185466223321113,45.79390115667718,31.854093841475546,5.811805496348083,140748,0.281496
Test_2024_1289_2024-09-09_16-36-17.947_113051200,29.935376932922097,13.273955645076688,31.30756803256331,21.21336102893351,4.2697383605043955,95322,0.190644
Test_2024_1290_2024-09-03_12-25-05.509_112962000,11.102373610909918,1.9949092564617263,31.643834199035656,50.109678620946546,5.149204312646152,193292,0.386584
Test_2024_1290_2024-09-09_16-37-02.016_113051300,18.4332415922669,2.7510114910262593,36.29528825205807,40.70374144885792,1.8167172157908549,163867,0.327734
Test_2024_1291_2024-09-03_12-25-49.335_112962100,15.108362541977868,8.481823353458243,52.18835446754629,20.402620520066797,3.818839116950801,54493,0.108986
Test_2024_1291_2024-09-09_16-37-45.818_113051400,12.515103413963846,5.593593783316354,60.6233267786491,19.589424056480844,1.6785519675898506,84418,0.168836
Test_2024_1292_2024-09-03_12-26-32.693_112962200,14.276709170809019,1.9460053310280239,23.26651538073626,51.730783084792165,8.779987032634537,111048,0.222096
Test_2024_1292_2024-09-09_16-38-29.443_113051500,11.259098469923437,1.6568947821675888,8.862529050220015,61.113404980711834,17.108072716977127,169534,0.339068
Test_2024_1293_2024-09-03_12-27-16.020_112962300,11.352801626751017,9.894374152733846,33.5020334387709,37.967126073203794,7.283664708540443,177040,0.35408
Test_2024_1293_2024-09-09_16-39-13.412_113051600,11.021438873770638,8.306221614380336,34.57992783692826,40.744129165363596,5.348282509557173,214237,0.428474
Test_2024_1294_2024-09-03_12-27-59.414_112962400,11.205250841612612,0.7415428196075211,20.747290417932508,63.08399704409229,4.22191887675507,194864,0.389728
Test_2024_1294_2024-09-09_16-39-56.964_113051700,11.714767790477794,2.7195550221647498,29.686150684870842,49.598997382743825,6.280529119742791,225809,0.451618
Test_2024_1295_2024-09-03_12-28-52.363_112962500,12.020835833115704,1.090493298230507,27.66112126708969,55.27142342901912,3.9561261725449786,141679,0.283358
Test_2024_1295_2024-09-09_16-41-11.170_113051800,13.807337364186026,1.4447424648815748,23.02586716370414,58.65890803291358,3.0631449743146795,109985,0.21997
Test_2024_1296_2024-09-03_12-30-48.633_112962600,11.915488361203538,1.854545196557669,36.04585990876262,45.556966605416065,4.627139928060106,140951,0.281902
Test_2024_1296_2024-09-09_16-43-06.039_113051900,13.393311561625245,2.275426244804479,26.813130884723048,50.33240732886589,7.185723979981338,188624,0.377248
