File Name,Dry pix Percentage,Yellow Pixels Percentage ,Pale Yellow Pix Per,Light Green Pix Per,Green Pix Per,Total Plant Pix,Plant Area(in meter)
DST_2024_1285_2024-09-09_11-20-09.163_113044800,11.420893816844323,1.673005160069277,26.383309229203494,58.62615387362294,1.8966379202599675,224028,0.448056
DST_2024_1285_2024-09-13_12-02-01.657_113176700,9.654833523640722,0.6615312075713937,19.69227011151445,65.43620157813112,4.55516357914231,352062,0.704124
DST_2024_1286_2024-09-06_14-39-27.888_113018800,12.517352232045006,3.0503397384379336,26.709042643871314,51.23231290031904,6.490952485326709,164244,0.328488
DST_2024_1286_2024-09-09_11-20-47.352_113044900,11.397157940658898,2.687652874656262,31.020014019126794,50.53257976441985,4.362595401138196,204007,0.408014
DST_2024_1286_2024-09-13_12-04-32.372_113176800,9.2246846181108,2.0242502846543053,31.360232850991956,48.03192652525694,9.358905720985998,265234,0.530468
DST_2024_1287_2024-09-06_14-40-05.690_113018900,10.762525954349693,1.195917738468198,48.134588435548835,37.807875448469154,2.0990924231641195,136297,0.272594
DST_2024_1287_2024-09-09_11-21-31.955_113045000,11.111972053800308,3.663741613880118,54.817942906585564,28.167677198148112,2.2386662275858953,154869,0.309738
DST_2024_1287_2024-09-13_12-07-03.085_113176900,12.01255276154964,7.407171517737724,38.01263382181795,40.6331964958804,1.934445403014284,172711,0.345422
DST_2024_1288_2024-09-06_14-40-49.529_113019000,14.431263890091493,0.38747943544895663,19.980806419026177,58.479089098623255,6.721361156810113,138588,0.277176
DST_2024_1288_2024-09-09_11-22-16.266_113045100,14.819941175016684,0.6580736053782842,27.463605131120392,51.78575842210633,5.272621666378309,161836,0.323672
DST_2024_1288_2024-09-13_12-09-33.091_113177000,15.489712549195437,1.278458626015045,19.548024709809198,58.79228316644249,4.891520948537837,160584,0.321168
DST_2024_1289_2024-09-06_14-41-33.102_113019100,20.061478457750088,7.10885983903221,46.054305971012575,21.604224165000247,5.1711315672048785,121018,0.242036
DST_2024_1289_2024-09-09_11-23-00.617_113045200,28.709832036468583,13.684897559582692,33.98737469023119,19.781351662808365,3.8365440509091653,98057,0.196114
DST_2024_1289_2024-09-13_12-12-04.142_113177100,38.00407479294506,11.22858623973767,19.75671798333916,27.026245042134324,3.9843759418437834,82949,0.165898
DST_2024_1290_2024-09-06_14-42-17.051_113019200,13.468641284080286,0.8490378082359733,31.339303502919524,49.048025297444205,5.294992107320014,195751,0.391502
DST_2024_1290_2024-09-09_11-23-45.177_113045300,14.678807979901293,2.458715231919605,38.789807652205,42.461992194870064,1.6106769411040387,201406,0.402812
DST_2024_1290_2024-09-13_12-14-34.348_113177200,14.113981139811399,6.468224682246823,34.335930025966924,43.5079950799508,1.5738690720240536,182925,0.36585
DST_2024_1291_2024-09-06_14-43-00.828_113019300,13.695813831415949,7.447909831882536,58.88631293469227,17.569951737310994,2.400011664698249,68583,0.137166
DST_2024_1291_2024-09-09_11-24-30.929_113045400,12.435990366404003,8.189725723104262,60.990950966866976,16.84242523440971,1.540907709215049,85534,0.171068
DST_2024_1291_2024-09-13_12-17-05.335_113177300,13.819151732261236,6.371255852891645,56.041741703739035,22.61333437168417,1.15451633942391,102727,0.205454
DST_2024_1292_2024-09-06_14-43-44.144_113019400,11.327941448689288,1.8752936820971393,11.555055603810391,62.25419698415185,12.987512281251336,140458,0.280916
DST_2024_1292_2024-09-09_11-25-14.857_113045500,12.67531616628333,2.6357996464670594,13.218583001754014,61.52223913295705,9.948062052538544,146521,0.293042
DST_2024_1292_2024-09-13_12-19-35.687_113177400,10.673192808126522,1.762550114371449,12.18830705659542,60.520451582753275,14.855498438153331,203285,0.40657
DST_2024_1293_2024-09-06_14-44-27.151_113019500,10.630273061678718,9.05089001332142,32.90938694062375,39.41111653226469,7.998333452111417,182413,0.364826
DST_2024_1293_2024-09-09_11-25-59.239_113045600,9.856487141969493,10.413200777695376,37.34942173939187,36.861858852298006,5.519031488645247,199564,0.399128
DST_2024_1293_2024-09-13_12-22-05.850_113177500,12.809843108109211,7.589777933862023,34.29978520266904,40.284300193562615,5.01629356179711,244882,0.489764
DST_2024_1294_2024-09-06_14-45-10.795_113019600,11.210284260950214,1.0507998125962117,21.300448430493272,62.14682513123046,4.291642364729842,209174,0.418348
DST_2024_1294_2024-09-09_11-26-43.307_113045700,10.927413075879251,3.718105576935911,30.55101995417436,48.705091984962074,6.0983694080484065,224765,0.44953
DST_2024_1294_2024-09-13_12-24-36.322_113177600,11.621168702002334,7.877634620537438,29.409654257855607,40.543523181935846,10.548019237668772,220193,0.440386
DST_2024_1295_2024-09-06_14-45-54.064_113019700,16.279434577240167,1.491119516148711,22.631725724643996,55.79976644066024,3.7979537413068867,114746,0.229492
DST_2024_1295_2024-09-09_11-27-44.115_113045800,14.841639019051202,1.5297397133768855,24.760577350617368,56.109552963710364,2.758490953244177,116948,0.233896
DST_2024_1295_2024-09-13_12-27-07.575_113177700,11.97937234314386,2.229242645977065,25.31456402394171,55.42831037499903,5.048510611938334,129147,0.258294
DST_2024_1296_2024-09-06_14-47-03.042_113019800,12.242900388282806,1.2393935268913392,40.71394771470613,43.54666199949439,2.2570963706253364,154269,0.308538
DST_2024_1296_2024-09-09_11-29-40.710_113045900,14.736228119892807,3.4606474475730344,31.091350307325744,48.85516345767599,1.8566106675324248,181729,0.363458
DST_2024_1296_2024-09-13_12-29-38.130_113177800,9.626845195631894,7.110245294408165,24.043790813806726,51.045382209295944,8.173736486857269,182230,0.36446
