File Name,Dry pix Percentage,Yellow Pixels Percentage ,Pale Yellow Pix Per,Light Green Pix Per,Green Pix Per,Total Plant Pix,Plant Area(in meter)
NEEPA_2024_1001_2024-03-18_10-20-22.238_111073800,55.56181994765347,3.4317437324071176,4.954402541605623,34.672998732489425,1.379035045844376,242996.0,0.485992
NEEPA_2024_1001_2024-03-18_10-20-22.238_111073800,55.56181994765347,3.4317437324071176,4.9544025416056225,34.672998732489425,1.379035045844376,242996.0,0.485992
DST_2024_1121_2024-09-06_13-02-14.807_113017200,6.021021824865715,0.7000476725836756,8.769970861089229,54.71945831708132,29.78950132438007,392259.0,0.784518
DST_2024_1122_2024-09-06_13-04-45.057_113017300,4.256121359169693,0.17337474975823766,2.8243204230406995,36.640915494402,56.10526797362937,633887.0,1.267774
DST_2024_1123_2024-09-06_13-07-15.511_113017400,5.5769790639827965,0.5613242963015931,5.535096814395236,48.73765878224805,39.58894104307232,391574.0,0.783148
DST_2024_1124_2024-09-06_13-09-45.964_113017500,4.051501828567555,0.14434438073641825,2.4823536298683493,45.19196108093453,48.12983907989315,649142.0,1.298284
DST_2024_1125_2024-09-06_13-12-16.906_113017600,4.1457379992883565,0.1998394664327621,2.73486309134691,42.83618956200816,50.08336988092381,483388.0,0.966776
DST_2024_1126_2024-09-06_13-14-46.667_113017700,4.707488972954307,0.14158569701916587,3.1640165130990314,45.53487057937119,46.45203823755632,637070.0,1.27414
DST_2024_1127_2024-09-06_13-17-17.245_113017800,5.9110918961283465,0.3228685034959673,5.3258394900551815,47.98260428801746,40.457595822303055,469541.0,0.939082
DST_2024_1128_2024-09-06_13-19-48.075_113017900,5.591322224626706,0.32433455961913005,3.0604847435619997,48.307184592079636,42.71667388011253,369680.0,0.73936
DST_2024_1129_2024-09-06_13-22-18.354_113018000,3.676737187505666,0.10242743967658308,1.7247239897753848,49.33966026721778,45.1564511158246,441288.0,0.882576
DST_2024_1130_2024-09-06_15-31-34.913_113021500,4.9798811696282215,0.2864078035458341,0.9109324444065132,46.76002741080819,47.06275117161124,398383.0,0.796766
DST_2024_1130_2024-09-09_12-14-48.315_113047700,4.941749234734976,0.3529281456420171,0.515043499275012,42.49285081359755,51.69742830675045,397248.0,0.794496
DST_2024_1131_2024-09-06_13-24-48.478_113018100,3.724282046851808,0.16189573098643478,2.1654574370681363,38.446290751128174,55.502074033965464,735041.0,1.470082
DST_2024_1132_2024-09-06_13-27-18.812_113018200,3.9381324442673344,0.07954747676316297,1.5308706570195705,33.92159934536838,60.529850076581575,657469.0,1.314938
DST_2024_1133_2024-09-06_13-29-49.214_113018300,4.308060297356828,0.1241137802863436,1.7821190115638768,46.1845229900881,47.60118392070485,464896.0,0.929792
DST_2024_1134_2024-09-06_13-32-19.975_113018400,4.476459558293244,0.16566124502592036,2.0146613383562,39.304137925183056,54.03907993314157,471444.0,0.942888
DST_2024_1135_2024-09-06_13-34-50.012_113018500,21.05263157894737,0.0,0.0,78.94736842105263,0.0,38.0,7.6e-05
DST_2024_1136_2024-09-06_13-39-38.914_113018600,18.42105263157895,0.0,0.0,81.57894736842105,0.0,38.0,7.6e-05
DST_2024_1137_2024-09-06_13-41-00.345_113018700,18.42105263157895,2.631578947368421,0.0,78.94736842105263,0.0,38.0,7.6e-05
DST_2024_1154_2024-09-06_12-12-46.539_113014500,5.806213560480432,0.1830230885827556,2.5346496460086083,44.37523716479836,47.10087654012985,476989.0,0.953978
DST_2024_1155_2024-09-06_12-13-24.193_113014600,4.342693836978132,0.14589880074392356,3.1795116398383887,51.5487718848201,40.783123837619435,498976.0,0.997952
DST_2024_1156_2024-09-06_12-14-08.165_113014700,5.359835159312493,0.2726404663785305,3.506382551010152,56.98386772539954,33.87727409789929,397960.0,0.79592
DST_2024_1157_2024-09-06_12-14-52.218_113014800,4.5652572257685735,0.2239997606680353,3.3276491991728085,41.78287355419186,50.10022026019872,534822.0,1.069644
DST_2024_1158_2024-09-06_12-15-36.820_113014900,5.0140846221256234,0.3703469168057425,3.5876463871258997,43.34284564520643,47.68507642873632,489541.0,0.979082
DST_2024_1159_2024-09-06_12-16-20.848_113015000,4.5378415382893165,0.8555141265317018,6.997606110446143,41.700393527887094,45.90864469684575,464516.0,0.929032
DST_2024_1160_2024-09-06_12-17-04.792_113015100,4.72022350542301,0.15133981950897352,2.5937642603121915,46.557404194770115,45.977268219985724,519361.0,1.038722
DST_2024_1161_2024-09-06_12-17-48.639_113015200,4.9023421478112,0.13786679580101666,3.901815554867545,53.2671255170005,37.790849984519745,377901.0,0.7558020000000001
DST_2024_1162_2024-09-06_12-18-32.387_113015300,4.527445389050271,0.3062566070587817,3.6513160816921175,49.06057617994297,42.45440574225586,450276.0,0.900552
DST_2024_1163_2024-09-06_12-19-16.184_113015400,3.9926076889283793,0.3635048406755476,1.926691263662398,30.53952640323439,63.17766980349929,605494.0,1.210988
DST_2024_1164_2024-09-06_12-20-08.024_113015500,3.1584083827004075,0.05650104441324521,1.4070472211759066,34.93373968427901,60.44430366743144,584060.0,1.16812
DST_2024_1165_2024-09-06_12-22-03.170_113015600,3.7774140652818082,0.15144499306959594,2.166992938170404,38.2685145706588,55.6356334328194,654363.0,1.308726
DST_2024_1166_2024-09-06_12-24-35.355_113015700,4.741606851614022,0.2116835672095326,2.554647714946803,43.45107246879243,49.04098939743721,380757.0,0.761514
DST_2024_1167_2024-09-06_12-27-07.170_113015800,6.363310038985469,0.3757690315427886,5.875991675829918,52.36252851210004,35.022400741541794,440164.0,0.8803280000000001
DST_2024_1168_2024-09-06_12-29-37.524_113015900,4.766706310219417,0.16848509919506352,3.6915903959184377,41.93684609683368,49.43637209783339,464136.0,0.928272
DST_2024_1169_2024-09-06_12-32-08.411_113016000,5.4139180309640125,0.4075436958731029,4.236799437300076,52.42780709943187,37.51393173643093,386707.0,0.773414
DST_2024_1170_2024-09-06_12-34-38.668_113016100,4.161941770012495,0.3501238705390355,2.5936974091917,38.36592007280554,54.52831687745122,553804.0,1.107608
DST_2024_1171_2024-09-06_12-37-09.355_113016200,3.9336544943607454,0.2488240507192037,2.3638284818324355,35.707198097272396,57.74649487581521,528084.0,1.056168
DST_2024_1172_2024-09-06_12-39-39.886_113016300,4.773960139207343,0.17981665584038475,2.7817808731862392,46.60069087451981,45.66375145724622,464918.0,0.929836
DST_2024_1173_2024-09-06_12-42-10.671_113016400,5.090136655875659,0.12740644014617736,3.0323639562193385,43.956128657834356,47.79396428992446,441108.0,0.882216
DST_2024_1174_2024-09-06_12-44-41.273_113016500,4.507106801421581,0.13021607937231885,2.2947554427456867,44.18467328102658,48.88324839543385,453861.0,0.907722
DST_2024_1175_2024-09-06_12-47-11.621_113016600,5.016881876131543,0.23840481665701904,4.0808570609172685,49.22170944171046,41.442146804583714,568361.0,1.136722
DST_2024_1176_2024-09-06_12-49-42.124_113016700,5.494658484536688,0.26887041794557764,2.4083045283782285,40.57093632600321,51.2572302431363,459701.0,0.919402
DST_2024_1177_2024-09-06_12-52-12.215_113016800,4.807790555827799,0.2174933010812107,1.8029214584354245,49.65186474961162,43.51992993504396,479555.0,0.95911
DST_2024_1178_2024-09-06_12-54-43.007_113016900,4.076159410503863,0.19651025489197999,3.044091014546953,41.596113425372856,51.08712589468436,577578.0,1.1551559999999998
DST_2024_1179_2024-09-06_12-57-13.887_113017000,5.463119647474168,0.3889036824518756,4.096051263990653,54.09154161333826,35.96038379274505,465668.0,0.931336
DST_2024_1180_2024-09-06_12-59-43.907_113017100,4.664058754949015,0.1106685683511567,1.7178286866343535,46.84634034234264,46.66110364772282,506919.0,1.013838
Test_2024_1279_2024-09-16_17-21-19.519_113267200,35.23096742531133,12.20784000981535,4.435310717133918,39.512913318201335,8.612968529538065,16301.0,0.032602
Test_2024_2213_2024-09-16_17-40-41.650_113267500,24.92006770735377,3.335214093160304,4.9777443420475205,46.1789229515391,20.58805090589932,15951.0,0.031902
Test_2024_trangenict2_2024-09-16_17-38-52.243_113267400,32.25945017182131,22.83791523482245,7.6317296678121425,29.725085910652922,7.54581901489118,6984.0,0.013968000000000001
Test_2024_trans_2024-09-16_17-21-57.690_113267300,37.249179131703755,8.81977380518059,17.402407880335645,33.69208318132068,2.8365560014593214,10964.0,0.021928
Test_2024_1285_2024-09-03_12-21-33.545_112961500,12.100280071999949,3.3251239529790952,45.21700706353281,37.06437757084653,2.2932113406416312,153889.0,0.307778
Test_2024_1285_2024-09-09_16-33-28.127_113050800,12.152537943136632,1.3921817536916383,21.840872178766777,62.41809322904027,2.1963148953646834,214268.0,0.428536
Test_2024_1286_2024-09-03_12-22-11.028_112961600,13.381154525454715,6.066216341833731,41.7461965110154,34.32513246366932,4.4813001580268335,129092.0,0.258184
Test_2024_1286_2024-09-09_16-34-06.064_113050900,10.458971784980866,2.6523239045469142,30.39089292356925,48.632053117818224,7.865758269084758,196243.0,0.392486
Test_2024_1287_2024-09-03_12-22-54.751_112961700,10.913695217089407,0.6175713760568557,48.946616019278686,35.993954989176146,3.528162398398889,122415.0,0.24483
Test_2024_1287_2024-09-09_16-34-50.009_113051000,10.733227623161463,5.554644260970467,47.118790286814786,34.29383782601564,2.2995000030376485,164601.0,0.329202
Test_2024_1288_2024-09-03_12-23-38.223_112961800,16.029516084261168,0.640748851124202,24.237424050828125,53.82830089751104,5.264010116275483,129692.0,0.259384
Test_2024_1288_2024-09-09_16-35-33.786_113051100,14.56793891337649,0.608049019550302,22.52950739812537,56.41884951960606,5.875655149341768,170381.0,0.340762
Test_2024_1289_2024-09-03_12-24-22.065_112961900,14.354733282178078,2.185466223321113,45.79390115667718,31.85409384147555,5.8118054963480805,140748.0,0.281496
Test_2024_1289_2024-09-09_16-36-17.947_113051200,29.935376932922093,13.273955645076688,31.30756803256331,21.213361028933512,4.269738360504396,95322.0,0.190644
